"file","module","object_type","object_name"
"038b_create_conciliaciones_bancarias.sql","finanzas","function","update_conciliaciones_bancarias_updated_at"
"038b_create_conciliaciones_bancarias.sql","finanzas","policy","conciliaciones_bancarias_tenant_isolation on conciliaciones_bancarias"
"039_conciliaciones_bancarias.sql","finanzas","policy","conciliaciones_bancarias_tenant_isolation on conciliaciones_bancarias"
"046_create_presupuestos_table.sql","contabilidad","table","presupuestos"
"046_create_presupuestos_table.sql","contabilidad","function","update_presupuestos_updated_at"
"046_create_presupuestos_table.sql","contabilidad","policy","presupuestos_tenant_isolation on presupuestos"
"047_create_plantillas_asientos_table.sql","contabilidad","table","plantillas_asientos"
"047_create_plantillas_asientos_table.sql","contabilidad","table","plantillas_asientos_detalle"
"047_create_plantillas_asientos_table.sql","contabilidad","table","plantillas_asientos_historial"
"047_create_plantillas_asientos_table.sql","contabilidad","function","update_plantillas_asientos_updated_at"
"047_create_plantillas_asientos_table.sql","contabilidad","function","calcular_proxima_generacion"
"047_create_plantillas_asientos_table.sql","contabilidad","function","validar_balance_plantilla"
"047_create_plantillas_asientos_table.sql","contabilidad","policy","plantillas_asientos_tenant_isolation on plantillas_asientos"
"047_create_plantillas_asientos_table.sql","contabilidad","policy","plantillas_detalle_tenant_isolation on plantillas_asientos_detalle"
"047_create_plantillas_asientos_table.sql","contabilidad","policy","plantillas_historial_tenant_isolation on plantillas_asientos_historial"
"048_create_materialized_views_estados_financieros.sql","core","materialized_view","mv_balance_comprobacion"
"048_create_materialized_views_estados_financieros.sql","core","materialized_view","mv_estado_resultados"
"048_create_materialized_views_estados_financieros.sql","core","materialized_view","mv_balance_general"
"048_create_materialized_views_estados_financieros.sql","core","function","refrescar_estados_financieros"
"048_create_materialized_views_estados_financieros.sql","core","function","trigger_refresh_estados_financieros"
"049_add_tenant_id_to_asientos_contables.sql","contabilidad,seguridad","policy","asientos_contables_tenant_isolation on asientos_contables"
"050_add_calcular_resultado_ejercicio_function.sql","core","function","calcular_resultado_ejercicio"
"053_db_rls_fiscal_and_audit.sql","fiscal,seguridad","policy","cpe_tenant_isolation on cpe"
"053_db_rls_fiscal_and_audit.sql","fiscal,seguridad","policy","gre_tenant_isolation on gre"
"053_db_rls_fiscal_and_audit.sql","fiscal,seguridad","policy","sire_files_tenant_isolation on sire_files"
"053_db_rls_fiscal_and_audit.sql","fiscal,seguridad","policy","auditoria_tenant_isolation on auditoria"
"053_db_rls_fiscal_and_audit.sql","fiscal,seguridad","policy","rls_alert_config_superadmin_all on rls_alert_config"
"053_db_rls_fiscal_and_audit.sql","fiscal,seguridad","policy","rls_alert_config_tenant_read on rls_alert_config"
"053_db_rls_fiscal_and_audit.sql","fiscal,seguridad","policy","rls_alert_history_superadmin_all on rls_alert_history"
"053_db_rls_fiscal_and_audit.sql","fiscal,seguridad","policy","rls_alert_history_system_insert on rls_alert_history"
"053_db_rls_fiscal_and_audit.sql","fiscal,seguridad","policy","rls_alert_history_tenant_read on rls_alert_history"
"054_add_login_attempts.sql","core","table","auth_login_attempts"
"054_add_login_attempts.sql","core","policy","auth_login_attempts_tenant_isolation on auth_login_attempts"
"054_add_login_attempts.sql","core","policy","auth_login_attempts_insert on auth_login_attempts"
"055_fix_rls_alert_tenant_id.sql","seguridad","function","send_rls_alert"
"055_fix_rls_alert_tenant_id.sql","seguridad","function","trigger_rls_alert"
"056_atomic_stock_reservation.sql","inventario","function","reservar_stock_atomico"
"056_fix_rls_context_and_auth_policies.sql","seguridad","function","app.set_tenant_context"
"056_fix_rls_context_and_auth_policies.sql","seguridad","function","app.is_superadmin"
"056_fix_rls_context_and_auth_policies.sql","seguridad","policy","usuarios_sistema_allow_login_select on public.usuarios_sistema"
"056_fix_rls_context_and_auth_policies.sql","seguridad","policy","usuarios_sistema_authenticated_write on public.usuarios_sistema"
"056_fix_rls_context_and_auth_policies.sql","seguridad","policy","user_roles_allow_login_select on public.user_roles"
"056_fix_rls_context_and_auth_policies.sql","seguridad","policy","user_roles_authenticated_write on public.user_roles"
"056_fix_rls_context_and_auth_policies.sql","seguridad","policy","roles_allow_login_select on public.roles"
"056_fix_rls_context_and_auth_policies.sql","seguridad","policy","roles_authenticated_write on public.roles"
"056_fix_rls_context_and_auth_policies.sql","seguridad","policy","empresa_config_tenant_isolation on public.empresa_config"
"057_payment_idempotency_locking.sql","core","function","procesar_pago_cxc_atomico"
"057_payment_idempotency_locking.sql","core","function","procesar_pago_cxp_atomico"
